queryid_pep	pfam_id	pfam_description
evm.model.HIC_ASM_12.3770_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_12.3770_Akon	PF00139	Legume lectin domain
evm.model.CTG_14383.5_Akon	PF00069	Protein kinase domain
evm.model.CTG_14383.5_Akon	PF00139	Legume lectin domain
evm.model.CTG_14383.2.2_Akon	PF00069	Protein kinase domain
evm.model.CTG_14383.2.2_Akon	PF00139	Legume lectin domain
evm.model.CTG_213.1_Akon	PF00069	Protein kinase domain
evm.model.CTG_213.1_Akon	PF00139	Legume lectin domain
evm.model.HIC_ASM_5.11825_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_5.11825_Akon	PF00139	Legume lectin domain
evm.model.HIC_ASM_9.758_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_9.758_Akon	PF00139	Legume lectin domain
evm.model.CTG_2456.6_Akon	PF00069	Protein kinase domain
evm.model.CTG_2456.6_Akon	PF00139	Legume lectin domain
evm.model.CTG_6188.5_Akon	PF03006	Haemolysin-III related
evm.model.HIC_ASM_4.3554_Akon	PF08627	CRT-like, chloroquine-resistance transporter-like
evm.model.HIC_ASM_9.528_Akon	PF01399	PCI domain
evm.model.HIC_ASM_10.527_evm.model.HIC_ASM_10.528_Akon	PF00855	PWWP domain
evm.model.HIC_ASM_12.5067_Akon	PF16486	N-terminal domain of argonaute
evm.model.HIC_ASM_12.5067_Akon	PF02171	Piwi domain
evm.model.HIC_ASM_12.5067_Akon	PF16488	Argonaute linker 2 domain
evm.model.HIC_ASM_12.5067_Akon	PF02170	PAZ domain
evm.model.HIC_ASM_12.5067_Akon	PF08699	Argonaute linker 1 domain
evm.model.HIC_ASM_12.4731_Akon	PF00854	POT family
evm.model.HIC_ASM_5.711_Akon	PF00854	POT family
evm.model.HIC_ASM_5.767_Akon	PF10250	GDP-fucose protein O-fucosyltransferase
evm.model.HIC_ASM_5.849_Akon	PF10250	GDP-fucose protein O-fucosyltransferase
evm.model.HIC_ASM_12.4971_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_1.1260_Akon	PF08246	Cathepsin propeptide inhibitor domain (I29)
evm.model.HIC_ASM_1.1260_Akon	PF00112	Papain family cysteine protease
evm.model.HIC_ASM_10.1686.2_Akon	PF16901	C-terminal domain of alpha-glycerophosphate oxidase
evm.model.HIC_ASM_10.1686.2_Akon	PF01266	FAD dependent oxidoreductase
evm.model.HIC_ASM_10.1669.2_Akon	PF16901	C-terminal domain of alpha-glycerophosphate oxidase
evm.model.HIC_ASM_10.1669.2_Akon	PF01266	FAD dependent oxidoreductase
evm.model.HIC_ASM_11.6816_Akon	PF03330	Lytic transglycolase
evm.model.HIC_ASM_11.6816_Akon	PF01357	Pollen allergen
evm.model.HIC_ASM_11.6842_Akon	PF03330	Lytic transglycolase
evm.model.HIC_ASM_11.6842_Akon	PF01357	Pollen allergen
evm.model.HIC_ASM_11.1319_Akon	PF04535	Domain of unknown function (DUF588)
evm.model.HIC_ASM_11.1917_Akon	PF04520	Senescence regulator
evm.model.HIC_ASM_6.9268_Akon	PF04520	Senescence regulator
evm.model.HIC_ASM_9.10654_Akon	PF12600	Protein of unknown function (DUF3769)
evm.model.HIC_ASM_9.10701_Akon	PF12600	Protein of unknown function (DUF3769)
evm.model.HIC_ASM_11.3658_Akon	PF00036	EF hand
evm.model.HIC_ASM_6.908_Akon	PF01764	Lipase (class 3)
evm.model.HIC_ASM_0.3585_Akon	PF00190	Cupin
evm.model.CTG_5063.1.1_Akon	PF01866	Putative diphthamide synthesis protein
evm.model.CTG_6870.6_Akon	PF08879	WRC
evm.model.CTG_6870.6_Akon	PF08880	QLQ
evm.model.HIC_ASM_4.13445_Akon	PF08652	RAI1 like PD-(D/E)XK nuclease
evm.model.HIC_ASM_0.5935_Akon	PF13855	Leucine rich repeat
evm.model.HIC_ASM_0.5935_Akon	PF07714	Protein tyrosine kinase
evm.model.HIC_ASM_0.5935_Akon	PF08263	Leucine rich repeat N-terminal domain
evm.model.CTG_14754.6_Akon	PF00067	Cytochrome P450
evm.model.CTG_14199.6_Akon	PF00227	Proteasome subunit
evm.model.CTG_14199.6_Akon	PF10584	Proteasome subunit A N-terminal signature
evm.model.HIC_ASM_4.13756_Akon	PF12576	Protein of unknown function (DUF3754)
evm.model.HIC_ASM_1.1814_Akon	PF00226	DnaJ domain
evm.model.CTG_13267.1_Akon	PF00226	DnaJ domain
evm.model.HIC_ASM_5.12006_evm.model.HIC_ASM_5.12007_Akon	PF00316	Fructose-1-6-bisphosphatase, N-terminal domain
evm.model.HIC_ASM_5.12006_evm.model.HIC_ASM_5.12007_Akon	PF18913	FBPase_C
evm.model.HIC_ASM_12.4076_Akon	PF04765	Protein of unknown function (DUF616)
evm.model.HIC_ASM_5.11917_Akon	PF01151	GNS1/SUR4 family
evm.model.HIC_ASM_5.11892_Akon	PF01878	EVE domain
evm.model.HIC_ASM_5.11906_Akon	PF01878	EVE domain
evm.model.HIC_ASM_4.14416.3_Akon	PF03352	Methyladenine glycosylase
evm.model.HIC_ASM_11.2418_Akon	PF03352	Methyladenine glycosylase
evm.model.HIC_ASM_11.2401_Akon	PF03352	Methyladenine glycosylase
evm.model.HIC_ASM_7.789_Akon	PF00270	DEAD/DEAH box helicase
evm.model.HIC_ASM_7.789_Akon	PF00271	Helicase conserved C-terminal domain
evm.model.HIC_ASM_4.403_Akon	PF00149	Calcineurin-like phosphoesterase
evm.model.HIC_ASM_5.4325_Akon	PF13639	Ring finger domain
evm.model.HIC_ASM_12.4969.3_Akon	PF00010	Helix-loop-helix DNA-binding domain
evm.model.CTG_2724.1.3_Akon	PF00010	Helix-loop-helix DNA-binding domain
evm.model.HIC_ASM_11.1618_Akon	PF17677	Glyco_hydro38C2
evm.model.HIC_ASM_11.1618_Akon	PF09261	Alpha mannosidase middle domain
evm.model.HIC_ASM_11.1618_Akon	PF01074	Glycosyl hydrolases family 38 N-terminal domain
evm.model.HIC_ASM_11.1618_Akon	PF07748	Glycosyl hydrolases family 38 C-terminal domain
evm.model.CTG_19538.5_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_12.4911.1_Akon	PF00627	UBA/TS-N domain
evm.model.HIC_ASM_12.4911.1_Akon	PF00632	HECT-domain (ubiquitin-transferase)
evm.model.HIC_ASM_12.4911.1_Akon	PF06025	Domain of Unknown Function (DUF913)
evm.model.HIC_ASM_12.4911.1_Akon	PF06012	Domain of Unknown Function (DUF908)
evm.model.HIC_ASM_12.4911.1_Akon	PF14377	Domain of unknown function (DUF4414)
evm.model.CTG_4221.1.1_Akon	PF00627	UBA/TS-N domain
evm.model.CTG_4221.1.1_Akon	PF00632	HECT-domain (ubiquitin-transferase)
evm.model.CTG_4221.1.1_Akon	PF06025	Domain of Unknown Function (DUF913)
evm.model.CTG_4221.1.1_Akon	PF06012	Domain of Unknown Function (DUF908)
evm.model.CTG_4221.1.1_Akon	PF14377	Domain of unknown function (DUF4414)
evm.model.HIC_ASM_5.10879_Akon	PF07859	alpha/beta hydrolase fold
evm.model.HIC_ASM_5.10878_Akon	PF07859	alpha/beta hydrolase fold
evm.model.HIC_ASM_5.10876_Akon	PF07859	alpha/beta hydrolase fold
evm.model.CTG_13696.3_Akon	PF00447	HSF-type DNA-binding
evm.model.CTG_16655.4_Akon	PF00447	HSF-type DNA-binding
evm.model.HIC_ASM_5.10772_Akon	PF00447	HSF-type DNA-binding
evm.model.CTG_6188.4_Akon	PF03006	Haemolysin-III related
evm.model.CTG_14287.6.2_Akon	PF00581	Rhodanese-like domain
evm.model.HIC_ASM_5.2621_Akon	PF02469	Fasciclin domain
evm.model.HIC_ASM_4.13121_Akon	PF00249	Myb-like DNA-binding domain
evm.model.HIC_ASM_5.10073_Akon	PF00694	Aconitase C-terminal domain
evm.model.HIC_ASM_5.10073_Akon	PF00330	Aconitase family (aconitate hydratase)
evm.model.CTG_16873.1_Akon	PF00043	Glutathione S-transferase, C-terminal domain
evm.model.CTG_16873.1_Akon	PF02798	Glutathione S-transferase, N-terminal domain
evm.model.HIC_ASM_11.6758_Akon	PF00043	Glutathione S-transferase, C-terminal domain
evm.model.HIC_ASM_11.6758_Akon	PF02798	Glutathione S-transferase, N-terminal domain
evm.model.CTG_1665.1_Akon	PF00043	Glutathione S-transferase, C-terminal domain
evm.model.CTG_1665.1_Akon	PF02798	Glutathione S-transferase, N-terminal domain
evm.model.HIC_ASM_9.3718_Akon	PF00400	WD domain, G-beta repeat
evm.model.HIC_ASM_5.12098_Akon	PF07569	TUP1-like enhancer of split
evm.model.HIC_ASM_5.12098_Akon	PF00400	WD domain, G-beta repeat
evm.model.HIC_ASM_11.1380_Akon	PF03214	Reversibly glycosylated polypeptide
evm.model.CTG_18657.1_Akon	PF13812	Pentatricopeptide repeat domain
evm.model.CTG_18657.1_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_5.6815_Akon	PF13812	Pentatricopeptide repeat domain
evm.model.HIC_ASM_5.6815_Akon	PF13041	PPR repeat family
evm.model.CTG_17250.1_Akon	PF14368	Probable lipid transfer
evm.model.HIC_ASM_2.6679_Akon	PF14368	Probable lipid transfer
evm.model.CTG_14910.3_Akon	PF14368	Probable lipid transfer
evm.model.CTG_8883.6_Akon	PF02179	BAG domain
evm.model.HIC_ASM_8.6861_Akon	PF03446	NAD binding domain of 6-phosphogluconate dehydrogenase
evm.model.HIC_ASM_8.6861_Akon	PF14833	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase
evm.model.CTG_7678.2_Akon	PF00856	SET domain
evm.model.HIC_ASM_1.10710_Akon	PF00281	Ribosomal protein L5
evm.model.HIC_ASM_1.10710_Akon	PF00673	ribosomal L5P family C-terminus
evm.model.CTG_18647.4_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.CTG_18647.4_Akon	PF08662	Eukaryotic translation initiation factor eIF2A
evm.model.HIC_ASM_12.5077_Akon	PF00168	C2 domain
evm.model.CTG_4195.1_Akon	PF00847	AP2 domain
evm.model.HIC_ASM_4.13932_Akon	PF17067	Ribosomal protein S31e
evm.model.CTG_18017.4_Akon	PF04759	Protein of unknown function, DUF617
evm.model.HIC_ASM_1.899_Akon	PF00012	Hsp70 protein
evm.model.HIC_ASM_6.8657_Akon	PF03195	Lateral organ boundaries (LOB) domain
evm.model.HIC_ASM_6.8630_Akon	PF03195	Lateral organ boundaries (LOB) domain
evm.model.CTG_5191.3_Akon	PF04564	U-box domain
evm.model.HIC_ASM_10.421_Akon	PF00118	TCP-1/cpn60 chaperonin family
evm.model.CTG_7419.3_Akon	PF00125	Core histone H2A/H2B/H3/H4
evm.model.CTG_4355.12_Akon	PF07731	Multicopper oxidase
evm.model.CTG_4355.12_Akon	PF07732	Multicopper oxidase
evm.model.CTG_4355.12_Akon	PF00394	Multicopper oxidase
evm.model.HIC_ASM_5.444_Akon	PF13847	Methyltransferase domain
evm.model.HIC_ASM_9.922_Akon	PF00860	Permease family
evm.model.CTG_14063.2_Akon	PF13499	EF-hand domain pair
evm.model.HIC_ASM_11.802.3_Akon	PF04418	Domain of unknown function (DUF543)
evm.model.HIC_ASM_11.833.3_Akon	PF04418	Domain of unknown function (DUF543)
evm.model.HIC_ASM_10.4948_Akon	PF02992	Transposase family tnp2
evm.model.HIC_ASM_1.4728_Akon	PF05536	Neurochondrin
evm.model.HIC_ASM_5.11981_Akon	PF00651	BTB/POZ domain
evm.model.HIC_ASM_8.3733_Akon	PF00009	Elongation factor Tu GTP binding domain
evm.model.HIC_ASM_4.14918_Akon	PF01663	Type I phosphodiesterase / nucleotide pyrophosphatase
evm.model.HIC_ASM_5.2312_Akon	PF01195	Peptidyl-tRNA hydrolase
evm.model.HIC_ASM_1.5082_Akon	PF00289	Biotin carboxylase, N-terminal domain
evm.model.HIC_ASM_1.5082_Akon	PF02786	Carbamoyl-phosphate synthase L chain, ATP binding domain
evm.model.CTG_18470.8_Akon	PF07983	X8 domain
evm.model.CTG_1321.15_Akon	PF07983	X8 domain
evm.model.HIC_ASM_5.10729_Akon	PF13359	DDE superfamily endonuclease
evm.model.HIC_ASM_4.13049.1_Akon	PF17177	Pentacotripeptide-repeat region of PRORP
evm.model.HIC_ASM_4.13049.1_Akon	PF01535	PPR repeat
evm.model.HIC_ASM_4.13049.1_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_4.13049.1_Akon	PF13812	Pentatricopeptide repeat domain
evm.model.CTG_7003.3_Akon	PF00332	Glycosyl hydrolases family 17
evm.model.CTG_7003.3_Akon	PF07983	X8 domain
evm.model.HIC_ASM_2.55_Akon	PF00145	C-5 cytosine-specific DNA methylase
evm.model.HIC_ASM_2.55_Akon	PF12047	Cytosine specific DNA methyltransferase replication foci domain
evm.model.HIC_ASM_2.55_Akon	PF01426	BAH domain
evm.model.HIC_ASM_9.2947_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_9.2947_Akon	PF01535	PPR repeat
evm.model.HIC_ASM_5.784_Akon	PF00132	Bacterial transferase hexapeptide (six repeats)
evm.model.HIC_ASM_5.784_Akon	PF00501	AMP-binding enzyme
evm.model.HIC_ASM_5.784_Akon	PF00550	Phosphopantetheine attachment site
evm.model.CTG_18024.8_Akon	PF00847	AP2 domain
evm.model.HIC_ASM_10.6507_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_4.1389_Akon	PF05383	La domain
evm.model.HIC_ASM_0.6038_Akon	PF14432	DYW family of nucleic acid deaminases
evm.model.HIC_ASM_0.6038_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_0.6038_Akon	PF12854	PPR repeat
evm.model.HIC_ASM_0.6038_Akon	PF01535	PPR repeat
evm.model.HIC_ASM_10.592_Akon	PF17766	fn3_6
evm.model.HIC_ASM_10.592_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_10.592_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_10.592_Akon	PF02225	PA domain
evm.model.HIC_ASM_4.586_Akon	PF14144	Seed dormancy control
evm.model.HIC_ASM_4.586_Akon	PF00170	bZIP transcription factor
evm.model.CTG_7580.26_Akon	PF12214	Cell cycle regulated microtubule associated protein
evm.model.CTG_7580.26_Akon	PF06886	Targeting protein for Xklp2 (TPX2)
evm.model.HIC_ASM_12.4661_Akon	PF04484	QWRF family
evm.model.HIC_ASM_1.5380_Akon	PF00253	Ribosomal protein S14p/S29e
evm.model.HIC_ASM_5.6400_Akon	PF03924	CHASE domain
evm.model.HIC_ASM_5.6400_Akon	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
evm.model.HIC_ASM_5.6400_Akon	PF00512	His Kinase A (phospho-acceptor) domain
evm.model.HIC_ASM_5.6400_Akon	PF00072	Response regulator receiver domain
evm.model.HIC_ASM_6.20_Akon	PF03924	CHASE domain
evm.model.HIC_ASM_6.20_Akon	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
evm.model.HIC_ASM_6.20_Akon	PF00512	His Kinase A (phospho-acceptor) domain
evm.model.HIC_ASM_6.20_Akon	PF00072	Response regulator receiver domain
evm.model.CTG_18099.3_Akon	PF03924	CHASE domain
evm.model.CTG_18099.3_Akon	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
evm.model.CTG_18099.3_Akon	PF00512	His Kinase A (phospho-acceptor) domain
evm.model.CTG_18099.3_Akon	PF00072	Response regulator receiver domain
evm.model.HIC_ASM_4.14485_Akon	PF02214	BTB/POZ domain
evm.model.HIC_ASM_6.9355_Akon	PF00180	Isocitrate/isopropylmalate dehydrogenase
evm.model.HIC_ASM_4.13071_Akon	PF13360	PQQ-like domain
evm.model.HIC_ASM_4.13071_Akon	PF13193	AMP-binding enzyme C-terminal domain
evm.model.HIC_ASM_4.13071_Akon	PF00501	AMP-binding enzyme
evm.model.HIC_ASM_4.13071_Akon	PF01011	PQQ enzyme repeat
evm.model.CTG_13076.6_Akon	PF08801	Nup133 N terminal like
evm.model.CTG_13076.6_Akon	PF03177	Non-repetitive/WGA-negative nucleoporin C-terminal
evm.model.CTG_18019.11_Akon	PF08801	Nup133 N terminal like
evm.model.CTG_18019.11_Akon	PF03177	Non-repetitive/WGA-negative nucleoporin C-terminal
evm.model.HIC_ASM_5.7663_Akon	PF01535	PPR repeat
evm.model.HIC_ASM_5.7663_Akon	PF13812	Pentatricopeptide repeat domain
evm.model.HIC_ASM_5.7663_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_5.7684_Akon	PF01535	PPR repeat
evm.model.HIC_ASM_5.7684_Akon	PF13812	Pentatricopeptide repeat domain
evm.model.HIC_ASM_5.7684_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_5.9800_Akon	PF00271	Helicase conserved C-terminal domain
evm.model.HIC_ASM_5.9800_Akon	PF00176	SNF2 family N-terminal domain
evm.model.HIC_ASM_0.5418_Akon	PF00575	S1 RNA binding domain
evm.model.HIC_ASM_0.5418_Akon	PF03725	3' exoribonuclease family, domain 2
evm.model.HIC_ASM_0.5418_Akon	PF01138	3' exoribonuclease family, domain 1
evm.model.HIC_ASM_0.5418_Akon	PF00013	KH domain
evm.model.HIC_ASM_9.10381_Akon	PF13639	Ring finger domain
evm.model.HIC_ASM_9.10396_Akon	PF13639	Ring finger domain
evm.model.CTG_6189.4_Akon	PF00046	Homeobox domain
evm.model.HIC_ASM_1.615_Akon	PF00046	Homeobox domain
evm.model.HIC_ASM_7.7054_Akon	PF00046	Homeobox domain
evm.model.CTG_5929.8_Akon	PF03947	Ribosomal Proteins L2, C-terminal domain
evm.model.HIC_ASM_10.6615_Akon	PF03947	Ribosomal Proteins L2, C-terminal domain
evm.model.HIC_ASM_9.2454_Akon	PF02365	No apical meristem (NAM) protein
evm.model.CTG_473.9_Akon	PF00139	Legume lectin domain
evm.model.CTG_473.9_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_11.6804_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_11.6804_Akon	PF05183	RNA dependent RNA polymerase
evm.model.HIC_ASM_8.908_Akon	PF00112	Papain family cysteine protease
evm.model.HIC_ASM_8.908_Akon	PF08246	Cathepsin propeptide inhibitor domain (I29)
evm.model.CTG_5949.1_Akon	PF00112	Papain family cysteine protease
evm.model.CTG_5949.1_Akon	PF08246	Cathepsin propeptide inhibitor domain (I29)
evm.model.HIC_ASM_8.967_Akon	PF00112	Papain family cysteine protease
evm.model.HIC_ASM_8.967_Akon	PF08246	Cathepsin propeptide inhibitor domain (I29)
evm.model.HIC_ASM_8.946_Akon	PF00112	Papain family cysteine protease
evm.model.HIC_ASM_8.946_Akon	PF08246	Cathepsin propeptide inhibitor domain (I29)
evm.model.HIC_ASM_11.6906_Akon	PF03168	Late embryogenesis abundant protein
evm.model.HIC_ASM_0.703_Akon	PF00892	EamA-like transporter family
evm.model.HIC_ASM_5.11014_Akon	PF01095	Pectinesterase
evm.model.HIC_ASM_5.11014_Akon	PF04043	Plant invertase/pectin methylesterase inhibitor
evm.model.HIC_ASM_5.926_Akon	PF08263	Leucine rich repeat N-terminal domain
evm.model.HIC_ASM_5.926_Akon	PF07714	Protein tyrosine kinase
evm.model.HIC_ASM_5.926_Akon	PF13855	Leucine rich repeat
evm.model.HIC_ASM_7.2059_Akon	PF17766	fn3_6
evm.model.HIC_ASM_7.2059_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_7.2059_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_7.2062_Akon	PF17766	fn3_6
evm.model.HIC_ASM_7.2062_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_7.2062_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_4.2314_Akon	PF17766	fn3_6
evm.model.HIC_ASM_4.2314_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_4.2314_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_4.2316_Akon	PF17766	fn3_6
evm.model.HIC_ASM_4.2316_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_4.2316_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_11.126_Akon	PF17766	fn3_6
evm.model.HIC_ASM_11.126_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_11.126_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_11.127_Akon	PF17766	fn3_6
evm.model.HIC_ASM_11.127_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_11.127_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_11.1_Akon	PF17766	fn3_6
evm.model.HIC_ASM_11.1_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_11.1_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_11.123_Akon	PF17766	fn3_6
evm.model.HIC_ASM_11.123_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_11.123_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_6.9340_Akon	PF17766	fn3_6
evm.model.HIC_ASM_6.9340_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_6.9340_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_7.2061_Akon	PF17766	fn3_6
evm.model.HIC_ASM_7.2061_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_7.2061_Akon	PF05922	Peptidase inhibitor I9
evm.model.CTG_6446.7_Akon	PF17766	fn3_6
evm.model.CTG_6446.7_Akon	PF00082	Subtilase family
evm.model.CTG_6446.7_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_7.2060_Akon	PF17766	fn3_6
evm.model.HIC_ASM_7.2060_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_7.2060_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_4.2317_Akon	PF17766	fn3_6
evm.model.HIC_ASM_4.2317_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_4.2317_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_4.2344_Akon	PF17766	fn3_6
evm.model.HIC_ASM_4.2344_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_4.2344_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_11.122_Akon	PF17766	fn3_6
evm.model.HIC_ASM_11.122_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_11.122_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_4.2307_Akon	PF17766	fn3_6
evm.model.HIC_ASM_4.2307_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_4.2307_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_2.5994_Akon	PF06108	Protein of unknown function (DUF952)
evm.model.CTG_6593.8_Akon	PF00690	Cation transporter/ATPase, N-terminus
evm.model.CTG_6593.8_Akon	PF00689	Cation transporting ATPase, C-terminus
evm.model.CTG_6593.8_Akon	PF12515	Ca2+-ATPase N terminal autoinhibitory domain
evm.model.HIC_ASM_2.5758_evm.model.HIC_ASM_2.5762_Akon	PF00557	Metallopeptidase family M24
evm.model.HIC_ASM_2.5758_evm.model.HIC_ASM_2.5762_Akon	PF05195	Aminopeptidase P, N-terminal domain
evm.model.CTG_3315.7_Akon	PF08246	Cathepsin propeptide inhibitor domain (I29)
evm.model.CTG_3315.7_Akon	PF00112	Papain family cysteine protease
evm.model.CTG_11366.3_Akon	PF00854	POT family
evm.model.HIC_ASM_1.417_Akon	PF05605	Drought induced 19 protein (Di19), zinc-binding
evm.model.HIC_ASM_1.417_Akon	PF14571	Stress-induced protein Di19, C-terminal
evm.model.CTG_12186.8_Akon	PF05605	Drought induced 19 protein (Di19), zinc-binding
evm.model.CTG_12186.8_Akon	PF14571	Stress-induced protein Di19, C-terminal
evm.model.HIC_ASM_1.7400_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_1.7400_Akon	PF01535	PPR repeat
evm.model.HIC_ASM_4.11886_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_4.11886_Akon	PF14432	DYW family of nucleic acid deaminases
evm.model.HIC_ASM_4.11886_Akon	PF01535	PPR repeat
evm.model.HIC_ASM_11.860_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_6.397_Akon	PF03879	Cgr1 family
evm.model.CTG_784.6_Akon	PF00034	Cytochrome c
evm.model.HIC_ASM_10.7407_Akon	PF08320	PIG-X / PBN1
evm.model.HIC_ASM_10.7140.1_Akon	PF01657	Salt stress response/antifungal
evm.model.HIC_ASM_10.7140.1_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_3.5733_Akon	PF04749	PLAC8 family
evm.model.CTG_12443.2_Akon	PF01344	Kelch motif
evm.model.CTG_1225.15_evm.model.CTG_1225.16_Akon	PF02138	Beige/BEACH domain
evm.model.CTG_1225.15_evm.model.CTG_1225.16_Akon	PF00400	WD domain, G-beta repeat
evm.model.HIC_ASM_8.6931_Akon	PF00010	Helix-loop-helix DNA-binding domain
evm.model.HIC_ASM_9.7231.1_Akon	PF11721	Di-glucose binding within endoplasmic reticulum
evm.model.HIC_ASM_9.7231.1_Akon	PF00225	Kinesin motor domain
evm.model.HIC_ASM_9.303_Akon	PF00067	Cytochrome P450
evm.model.HIC_ASM_4.2762_Akon	PF00271	Helicase conserved C-terminal domain
evm.model.HIC_ASM_4.2762_Akon	PF00176	SNF2 family N-terminal domain
evm.model.HIC_ASM_2.3287_Akon	PF12807	Translation initiation factor eIF3 subunit 135
evm.model.HIC_ASM_2.3287_Akon	PF15044	Mitochondrial function, CLU-N-term
evm.model.HIC_ASM_7.1711_Akon	PF04577	Protein of unknown function (DUF563)
evm.model.CTG_4211.4_Akon	PF14817	HAUS augmin-like complex subunit 5
evm.model.CTG_10204.1_Akon	PF14817	HAUS augmin-like complex subunit 5
evm.model.HIC_ASM_9.6860_Akon	PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
evm.model.HIC_ASM_3.5872_Akon	PF00447	HSF-type DNA-binding
evm.model.HIC_ASM_4.13827_Akon	PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
evm.model.CTG_18920.7_Akon	PF00069	Protein kinase domain
evm.model.CTG_18920.7_Akon	PF13947	Wall-associated receptor kinase galacturonan-binding
evm.model.HIC_ASM_5.298_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_5.298_Akon	PF13947	Wall-associated receptor kinase galacturonan-binding
evm.model.HIC_ASM_5.300_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_5.300_Akon	PF13947	Wall-associated receptor kinase galacturonan-binding
evm.model.HIC_ASM_10.1857_Akon	PF07876	Stress responsive A/B Barrel Domain
evm.model.CTG_16386.4_evm.model.CTG_16386.8_Akon	PF14631	Fanconi anaemia protein FancD2 nuclease
evm.model.HIC_ASM_4.12666_Akon	PF01416	tRNA pseudouridine synthase
evm.model.HIC_ASM_5.9809_Akon	PF03604	DNA directed RNA polymerase, 7 kDa subunit
evm.model.HIC_ASM_12.5263_Akon	PF03604	DNA directed RNA polymerase, 7 kDa subunit
evm.model.HIC_ASM_5.8161_Akon	PF01535	PPR repeat
evm.model.HIC_ASM_5.8161_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_5.8255_Akon	PF01535	PPR repeat
evm.model.HIC_ASM_5.8255_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_1.1345_Akon	PF13855	Leucine rich repeat
evm.model.HIC_ASM_1.1345_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_1.1345_Akon	PF08263	Leucine rich repeat N-terminal domain
evm.model.HIC_ASM_1.1353_Akon	PF13855	Leucine rich repeat
evm.model.HIC_ASM_1.1353_Akon	PF00069	Protein kinase domain
